

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
171.015  001.698  000.732: require('vim.treesitter.languagetree')
171.025  003.273  001.575: require('vim.treesitter')
171.957  000.929  000.929: require('vim.treesitter.highlighter')
177.231  000.421  000.421: require('git-conflict.colors')
177.979  000.743  000.743: require('git-conflict.utils')
178.008  002.670  001.507: require('git-conflict')
181.329  001.672  001.672: sourcing /home/kenj/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
186.776  000.366  000.366: require('diffview.lazy')
188.970  000.766  000.766: require('diffview.ffi')
189.349  000.373  000.373: require('diffview.oop')
189.372  001.744  000.606: require('diffview.async')
189.772  000.340  000.340: require('diffview.mock')
189.794  002.979  000.894: require('diffview.logger')
190.233  000.422  000.422: require('diffview.control')
191.131  000.811  000.811: require('diffview.events')
191.142  006.985  002.408: require('diffview.bootstrap')
191.169  007.794  000.809: sourcing /home/kenj/.local/share/nvim/lazy/diffview.nvim/plugin/diffview.lua
209.079  005.403  005.403: require('telescope._extensions')
209.093  013.958  008.556: require('telescope')
212.601  002.166  002.166: require('fzf_lib')
216.313  000.543  000.543: require('plenary.bit')
217.134  000.814  000.814: require('plenary.functional')
217.879  002.923  001.566: require('plenary.path')
218.070  004.183  001.260: require('plenary.log')
218.091  004.568  000.385: require('telescope.log')
219.744  000.681  000.681: require('plenary.job')
220.171  000.422  000.422: require('plenary.strings')
220.645  000.471  000.471: require('telescope.state')
220.662  002.569  000.996: require('telescope.utils')
220.677  008.068  000.931: require('telescope.sorters')
220.683  011.564  001.330: require('telescope._extensions.fzf')
222.386  000.462  000.462: require('telescope.deprecated')
225.473  004.787  004.325: require('telescope.config')
227.224  001.153  001.153: sourcing /home/kenj/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
230.730  001.224  001.224: require('plenary.window.border')
231.089  000.354  000.354: require('plenary.window')
231.439  000.347  000.347: require('plenary.popup.utils')
231.444  002.782  000.857: require('plenary.popup')
232.530  001.085  001.085: require('telescope.pickers.scroller')
233.298  000.764  000.764: require('telescope.actions.state')
234.083  000.783  000.783: require('telescope.actions.utils')
235.409  000.849  000.849: require('telescope.actions.mt')
235.475  001.389  000.540: require('telescope.actions.set')
237.358  001.146  001.146: require('telescope.config.resolve')
237.372  001.895  000.749: require('telescope.pickers.entry_display')
237.868  000.494  000.494: require('telescope.from_entry')
238.589  011.293  002.101: require('telescope.actions')
241.506  000.736  000.736: require('telescope._extensions.file_browser.utils')
242.417  000.904  000.904: require('plenary.scandir')
